timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1672244712347,970,HTTP Request - Index,200,OK,Ult. Thread Group - Teste de Pico 1-86,text,false,"A operação tomou muito tempo: levou 970 milisegundos, mas não deveria ter levado mais do que 400 milisegundos",4757,118,300,300,https://blazedemo.com/,958,0,262
1672244712738,577,HTTP Request - Index,200,OK,Ult. Thread Group - Teste de Pico 1-26,text,false,"A operação tomou muito tempo: levou 577 milisegundos, mas não deveria ter levado mais do que 400 milisegundos",4757,118,300,300,https://blazedemo.com/,565,0,257
1672244712739,576,HTTP Request - Index,200,OK,Ult. Thread Group - Teste de Pico 1-372,text,false,"A operação tomou muito tempo: levou 576 milisegundos, mas não deveria ter levado mais do que 400 milisegundos",4757,118,300,300,https://blazedemo.com/,563,0,286
1672244711832,1463,HTTP Request - Index,200,OK,Ult. Thread Group - Teste de Pico 1-297,text,false,"A operação tomou muito tempo: levou 1.463 milisegundos, mas não deveria ter levado mais do que 400 milisegundos",4757,118,300,300,https://blazedemo.com/,1453,0,257
1672244712336,958,HTTP Request - Index,200,OK,Ult. Thread Group - Teste de Pico 1-16,text,false,"A operação tomou muito tempo: levou 958 milisegundos, mas não deveria ter levado mais do que 400 milisegundos",4757,118,300,300,https://blazedemo.com/,948,0,257
1672244712278,1009,HTTP Request - Index,200,OK,Ult. Thread Group - Teste de Pico 1-208,text,false,"A operação tomou muito tempo: levou 1.009 milisegundos, mas não deveria ter levado mais do que 400 milisegundos",4757,118,300,300,https://blazedemo.com/,999,0,487
1672244711998,1265,HTTP Request - Index,200,OK,Ult. Thread Group - Teste de Pico 1-264,text,false,"A operação tomou muito tempo: levou 1.265 milisegundos, mas não deveria ter levado mais do que 400 milisegundos",4757,118,300,300,https://blazedemo.com/,1254,0,254
1672244711878,1383,HTTP Request - Index,200,OK,Ult. Thread Group - Teste de Pico 1-288,text,false,"A operação tomou muito tempo: levou 1.383 milisegundos, mas não deveria ter levado mais do que 400 milisegundos",4757,118,300,300,https://blazedemo.com/,1372,0,254
1672244712733,659,HTTP Request - Index,200,OK,Ult. Thread Group - Teste de Pico 1-286,text,false,"A operação tomou muito tempo: levou 659 milisegundos, mas não deveria ter levado mais do que 400 milisegundos",4757,118,300,300,https://blazedemo.com/,647,0,262
1672244712376,1016,HTTP Request - Index,200,OK,Ult. Thread Group - Teste de Pico 1-387,text,false,"A operação tomou muito tempo: levou 1.016 milisegundos, mas não deveria ter levado mais do que 400 milisegundos",4757,118,300,300,https://blazedemo.com/,1005,0,267
